artist,title,sanitized_title,title_signature,top_position,first_week
10CC,DREADLOCK HOLIDAY,DREADLOCK HOLIDAY,"(9, 7)",1,1978-08-13
10CC,GOOD MORNING JUDGE,GOOD MORNING JUDGE,"(4, 7, 5)",5,1977-04-17
10CC,I'M MANDY FLY ME,IM MANDY FLY ME,"(2, 5, 3, 2)",6,1976-03-14
10CC,I'M NOT IN LOVE,IM NOT IN LOVE,"(2, 3, 2, 4)",1,1975-06-01
10CC,LIFE IS A MINESTRONE,LIFE IS A MINESTRONE,"(4, 2, 1, 10)",7,1975-04-06
10CC,RUBBER BULLETS,RUBBER BULLETS,"(6, 7)",1,1973-05-20
10CC,SILLY LOVE,SILLY LOVE,"(5, 4)",24,1974-09-08
10CC,THINGS WE DO FOR LOVE,THINGS WE DO FOR LOVE,"(6, 2, 2, 3, 4)",6,1976-12-05
112,PEACHES & CREAM,PEACHES  CREAM,"(7, 0, 5)",32,2001-09-02
1300 DRUMS FEAT UNJUSTIFIED..,OOH! AAH! CANTONA,OOH AAH CANTONA,"(3, 3, 7)",11,1996-05-12
14-18,GOOD-BYE-EE,GOODBYEEE,"(9,)",33,1975-11-09
187 LOCKDOWN,GUNMAN,GUNMAN,"(6,)",16,1997-11-09
187 LOCKDOWN,KUNG-FU,KUNGFU,"(6,)",9,1998-04-19
187 LOCKDOWN,THE DON,THE DON,"(3, 3)",29,1998-09-27
1910 FRUITGUM COMPANY,SIMON SAYS,SIMON SAYS,"(5, 4)",2,1968-03-27
1975,CHOCOLATE,CHOCOLATE,"(9,)",19,2013-03-10
1975,GIVE YOURSELF A TRY,GIVE YOURSELF A TRY,"(4, 8, 1, 3)",22,2018-06-08
1975,IF YOU'RE TOO SHY (LET ME KNOW),IF YOURE TOO SHY,"(2, 5, 3, 3)",14,2020-05-01
1975,LOVE IT IF WE MADE IT,LOVE IT IF WE MADE IT,"(4, 2, 2, 2, 4, 2)",33,2018-07-27
1975,LOVE ME,LOVE ME,"(4, 2)",20,2015-10-16
1975,ME & YOU TOGETHER SONG,ME  YOU TOGETHER SONG,"(2, 0, 3, 8, 4)",35,2020-01-24
1975,SEX,SEX,"(3,)",34,2013-09-01
1975,THE CITY,THE CITY,"(3, 4)",30,2013-05-26
1975,THE SOUND,THE SOUND,"(3, 5)",15,2016-01-22
1975,TOOTIMETOOTIMETOOTIME,TOOTIMETOOTIMETOOTIME,"(21,)",26,2018-08-24
1996 MAN UTD F.A. CUP SQUAD,MOVE MOVE MOVE [THE RED TRIBE],MOVE MOVE MOVE THE RED TRIBE,"(4, 4, 4, 3, 3, 5)",6,1996-04-28
1999 MANCHESTER UNITED SQUAD,LIFT IT HIGH (ALL ABOUT BELIEF),LIFT IT HIGH,"(4, 2, 4)",11,1999-05-23
2 CHAINZ FT WIZ KHALIFA,WE OWN IT (FAST & FURIOUS),WE OWN IT,"(2, 3, 2)",6,2013-05-26
2 EIVISSA,OH LA LA LA,OH LA LA LA,"(2, 2, 2, 2)",13,1997-09-28
2 FUNKY 2 FT KATHRYN DION,BROTHERS & SISTERS,BROTHERS  SISTERS,"(8, 0, 7)",36,1996-11-24
2 IN A ROOM,EL TRAGO (THE DRINK),EL TRAGO,"(2, 5)",34,1994-10-16
2 IN A ROOM,WIGGLE IT,WIGGLE IT,"(6, 2)",3,1991-01-20
2 IN A TENT,WHEN I'M CLEANING WINDOWS (TURNED OUT...,WHEN IM CLEANING WINDOWS TURNED OUT,"(4, 2, 8, 7, 6, 3)",25,1994-12-11
2 PAC,CHANGES,CHANGES,"(7,)",3,1999-02-14
2 PAC,DEAR MAMA,DEAR MAMA,"(4, 4)",27,1999-06-27
2 PAC,DO FOR LOVE,DO FOR LOVE,"(2, 3, 4)",12,1998-06-07
2 PAC,HAPPY HOME,HAPPY HOME,"(5, 4)",17,1998-11-22
2 PAC,I AIN'T MAD AT CHA,I AINT MAD AT CHA,"(1, 4, 3, 2, 3)",13,1996-11-24
2 PAC,I WONDER IF HEAVEN GOT A GHETTO,I WONDER IF HEAVEN GOT A GHETTO,"(1, 6, 2, 6, 3, 1, 6)",21,1998-01-04
2 PAC,UNTIL THE END OF TIME,UNTIL THE END OF TIME,"(5, 3, 3, 2, 4)",4,2001-06-17
2 PAC AND SNOOP DOGGY DOGG,WANTED DEAD OR ALIVE,WANTED DEAD OR ALIVE,"(6, 4, 2, 5)",16,1997-04-20
2 PAC FEATURING K-CI AND JOJO,HOW DO U WANT IT,HOW DO U WANT IT,"(3, 2, 1, 4, 2)",17,1996-07-21
2 PAC FT DR DRE,CALIFORNIA LOVE,CALIFORNIA LOVE,"(10, 4)",6,1996-04-07
2 UNLIMITED,DO WHAT'S GOOD FOR ME,DO WHATS GOOD FOR ME,"(2, 5, 4, 3, 2)",16,1995-10-15
2 UNLIMITED,FACES,FACES,"(5,)",8,1993-08-29
2 UNLIMITED,GET READY FOR THIS,GET READY FOR THIS,"(3, 5, 3, 4)",2,1991-09-29
2 UNLIMITED,HERE I GO,HERE I GO,"(4, 1, 2)",22,1995-03-19
2 UNLIMITED,LET THE BEAT CONTROL YOUR BODY,LET THE BEAT CONTROL YOUR BODY,"(3, 3, 4, 7, 4, 4)",6,1994-02-13
2 UNLIMITED,MAGIC FRIEND,MAGIC FRIEND,"(5, 6)",11,1992-08-09
2 UNLIMITED,MAXIMUM OVERDRIVE,MAXIMUM OVERDRIVE,"(7, 9)",15,1993-11-14
2 UNLIMITED,NO LIMIT,NO LIMIT,"(2, 5)",1,1993-01-24
2 UNLIMITED,NO ONE,NO ONE,"(2, 3)",17,1994-09-25
2 UNLIMITED,THE REAL THING,THE REAL THING,"(3, 4, 5)",6,1994-05-15
2 UNLIMITED,TRIBAL DANCE,TRIBAL DANCE,"(6, 5)",4,1993-05-02
2 UNLIMITED,TWILIGHT ZONE,TWILIGHT ZONE,"(8, 4)",2,1992-01-19
2 UNLIMITED,WANNA GET UP,WANNA GET UP,"(5, 3, 2)",38,1998-07-05
2 UNLIMITED,WORKAHOLIC,WORKAHOLIC,"(10,)",4,1992-04-26
20 FINGERS FEAT GILLETTE,SHORT DICK MAN,SHORT DICK MAN,"(5, 4, 3)",21,1994-11-20
20 FINGERS FEAT GILLETTE,SHORT SHORT MAN,SHORT SHORT MAN,"(5, 5, 3)",11,1995-09-24
21 SAVAGE,A LOT,A LOT,"(1, 3)",29,2019-02-08
21 SAVAGE/METRO BOOMIN/DRAKE,MR RIGHT NOW,MR RIGHT NOW,"(2, 5, 3)",28,2020-10-09
21ST CENTURY GIRLS,21ST CENTURY GIRLS,21ST CENTURY GIRLS,"(4, 7, 5)",16,1999-06-06
22-20S,22 DAYS,22 DAYS,"(2, 4)",34,2004-09-19
22-20S,SHOOT YOUR GUN,SHOOT YOUR GUN,"(5, 4, 3)",30,2004-07-04
22-20S,SUCH A FOOL,SUCH A FOOL,"(4, 1, 4)",29,2005-02-06
220 KID & GRACEY,DON'T NEED LOVE,DONT NEED LOVE,"(4, 4, 4)",9,2020-05-01
24KGOLDN,CITY OF ANGELS,CITY OF ANGELS,"(4, 2, 6)",25,2020-02-28
24KGOLDN FT IANN DIOR,MOOD,MOOD,"(4,)",1,2020-08-28
2K,***K THE MILLENNIUM,K THE MILLENNIUM,"(1, 3, 10)",28,1997-10-19
2PAC,LETTER 2 MY UNBORN,LETTER 2 MY UNBORN,"(6, 1, 2, 6)",21,2001-11-04
2PAC,THUGZ MANSION,THUGZ MANSION,"(5, 7)",24,2003-02-16
2PAC & NOTORIOUS B.I.G.,RUNNIN',RUNNIN,"(6,)",15,1998-07-12
2PAC FT ELTON JOHN,GHETTO GOSPEL,GHETTO GOSPEL,"(6, 6)",1,2005-06-26
2PAC FT TI & ASHANTI,PAC'S LIFE,PACS LIFE,"(4, 4)",21,2007-02-11
2PLAY FT RAGHAV & JUCXI,SO CONFUSED,SO CONFUSED,"(2, 8)",6,2004-01-18
2PLAY FT RAGHAV & NAILA BOSS,IT CAN'T BE RIGHT,IT CANT BE RIGHT,"(2, 4, 2, 5)",8,2004-05-16
2PLAY FT THOMAS JULES/JUCXI D,CARELESS WHISPER,CARELESS WHISPER,"(8, 7)",29,2004-11-28
2WO THIRD3,I WANT THE WORLD,I WANT THE WORLD,"(1, 4, 3, 5)",20,1994-10-02
2WO THIRD3,I WANT TO BE ALONE,I WANT TO BE ALONE,"(1, 4, 2, 2, 5)",29,1994-12-11
3 COLOURS RED,BEAUTIFUL DAY,BEAUTIFUL DAY,"(9, 3)",11,1999-01-17
3 COLOURS RED,COPPER GIRL,COPPER GIRL,"(6, 4)",30,1997-07-06
3 COLOURS RED,NUCLEAR HOLIDAY,NUCLEAR HOLIDAY,"(7, 7)",22,1997-01-12
3 COLOURS RED,PURE,PURE,"(4,)",28,1997-05-04
3 COLOURS RED,SIXTY MILE SMILE,SIXTY MILE SMILE,"(5, 4, 5)",20,1997-03-09
3 COLOURS RED,THIS IS MY TIME,THIS IS MY TIME,"(4, 2, 2, 4)",36,1999-05-23
3 JAYS,FEELING IT TOO,FEELING IT TOO,"(7, 2, 3)",17,1999-07-25
3 OF A KIND,BABY CAKES,BABY CAKES,"(4, 5)",1,2004-08-15
30 SECONDS TO MARS,FROM YESTERDAY,FROM YESTERDAY,"(4, 9)",37,2008-02-10
30 SECONDS TO MARS,KINGS AND QUEENS,KINGS AND QUEENS,"(5, 3, 6)",28,2009-12-06
30 SECONDS TO MARS,THE KILL (REBIRTH),THE KILL,"(3, 4)",28,2007-09-30
3LW,NO MORE (BABY I'MA DO RIGHT),NO MORE,"(2, 4)",6,2001-05-27
3LW,PLAYAS GON' PLAY,PLAYAS GON PLAY,"(6, 3, 4)",21,2001-09-02
3OH3,DON'T TRUST ME,DONT TRUST ME,"(4, 5, 2)",21,2009-07-19
3OH3 FT KATY PERRY,STARSTRUKK,STARSTRUKK,"(10,)",3,2009-12-20
3OH3 FT KESHA,MY FIRST KISS,MY FIRST KISS,"(2, 5, 4)",7,2010-07-11
3RD EDGE,IN AND OUT,IN AND OUT,"(2, 3, 3)",15,2002-08-25
3RD EDGE,KNOW YOU WANNA,KNOW YOU WANNA,"(4, 3, 5)",17,2003-02-02
3RD WISH,OBSESSION (SI ES AMOR),OBSESSION,"(9,)",15,2004-12-12
3SL,TAKE IT EASY,TAKE IT EASY,"(4, 2, 4)",11,2002-04-14
3SL,TOUCH ME TEASE ME,TOUCH ME TEASE ME,"(5, 2, 5, 2)",16,2002-09-01
3T,24/7,247,"(3,)",11,1996-04-28
3T,ANYTHING,ANYTHING,"(8,)",2,1996-01-21
3T,I NEED YOU,I NEED YOU,"(1, 4, 3)",3,1996-12-01
3T FEATURING HERBIE,GOTTA BE YOU,GOTTA BE YOU,"(5, 2, 3)",10,1997-03-30
3T FEATURING MICHAEL JACKSON,WHY,WHY,"(3,)",2,1996-08-18
4 NON BLONDES,WHAT'S UP,WHATS UP,"(5, 2)",2,1993-06-27
4 OF US,SHE HITS ME,SHE HITS ME,"(3, 4, 2)",35,1993-02-28
4 STRINGS,DIVING,DIVING,"(6,)",38,2002-09-08
4 STRINGS,TAKE ME AWAY INTO THE NIGHT,TAKE ME AWAY INTO THE NIGHT,"(4, 2, 4, 4, 3, 5)",15,2002-05-05
4 THE CAUSE,STAND BY ME,STAND BY ME,"(5, 2, 2)",12,1998-10-04
4-4-2,COME ON ENGLAND,COME ON ENGLAND,"(4, 2, 7)",2,2004-06-13
411,DUMB,DUMB,"(4,)",3,2004-08-29
411,TEARDROPS,TEARDROPS,"(9,)",23,2004-11-21
411 FT GHOSTFACE KILLAH,ON MY KNEES,ON MY KNEES,"(2, 2, 5)",4,2004-05-23
49-ERS FEAT ANN-MARIE SMITH,ROCKIN' MY BODY,ROCKIN MY BODY,"(6, 2, 4)",31,1995-03-12
49ERS,DON'T YOU LOVE ME,DONT YOU LOVE ME,"(4, 3, 4, 2)",12,1990-03-11
49ERS,GIRL TO GIRL,GIRL TO GIRL,"(4, 2, 4)",31,1990-06-03
49ERS,TOUCH ME,TOUCH ME,"(5, 2)",3,1989-12-17
5 6 7 8'S,WOO HOO,WOO HOO,"(3, 3)",28,2004-07-11
5 SECONDS OF SUMMER,AMNESIA,AMNESIA,"(7,)",7,2014-09-07
5 SECONDS OF SUMMER,DON'T STOP,DONT STOP,"(4, 4)",2,2014-06-22
5 SECONDS OF SUMMER,EASIER,EASIER,"(6,)",27,2019-05-31
5 SECONDS OF SUMMER,GIRLS TALK BOYS,GIRLS TALK BOYS,"(5, 4, 4)",28,2016-07-22
5 SECONDS OF SUMMER,GOOD GIRLS,GOOD GIRLS,"(4, 5)",19,2014-05-18
5 SECONDS OF SUMMER,SHE LOOKS SO PERFECT,SHE LOOKS SO PERFECT,"(3, 5, 2, 7)",1,2014-03-30
5 SECONDS OF SUMMER,SHE'S KINDA HOT,SHES KINDA HOT,"(4, 5, 3)",14,2015-07-24
5 SECONDS OF SUMMER,WANT YOU BACK,WANT YOU BACK,"(4, 3, 4)",22,2018-03-02
5 SECONDS OF SUMMER,YOUNGBLOOD,YOUNGBLOOD,"(10,)",4,2018-06-08
50 CENT,21 QUESTIONS,21 QUESTIONS,"(2, 9)",6,2003-07-06
50 CENT,CANDY SHOP,CANDY SHOP,"(5, 4)",4,2005-03-27
50 CENT,GET UP,GET UP,"(3, 2)",24,2008-12-28
50 CENT,HUSTLER'S AMBITION,HUSTLERS AMBITION,"(8, 8)",13,2006-02-05
50 CENT,IN DA CLUB,IN DA CLUB,"(2, 2, 4)",3,2003-03-16
50 CENT,JUST A LIL BIT,JUST A LIL BIT,"(4, 1, 3, 3)",10,2005-06-26
50 CENT,P.I.M.P.,PIMP,"(4,)",5,2003-10-19
50 CENT,WINDOW SHOPPER,WINDOW SHOPPER,"(6, 7)",11,2005-11-27
50 CENT & G UNIT,IF I CAN'T/THEM THANGS,IF I CANTTHEM THANGS,"(2, 1, 8, 6)",10,2004-02-29
50 CENT FT MOBB DEEP,OUTTA CONTROL,OUTTA CONTROL,"(5, 7)",7,2005-09-18
50 CENT FT NE-YO,BABY BY ME,BABY BY ME,"(4, 2, 2)",17,2009-11-22
50 CENT/EMINEM/ADAM LEVINE,MY LIFE,MY LIFE,"(2, 4)",2,2013-01-20
50 CENT/JUSTIN TIMBERLAKE,AYO TECHNOLOGY,AYO TECHNOLOGY,"(3, 10)",8,2007-08-19
50 CENT/TIMBERLAKE/TIMBALAND,AYO TECHNOLOGY,AYO TECHNOLOGY,"(3, 10)",2,2007-09-16
5000 VOLTS,DR. KISS KISS,DR KISS KISS,"(2, 4, 4)",8,1976-07-25
5000 VOLTS,I'M ON FIRE,IM ON FIRE,"(2, 2, 4)",4,1975-08-31
53RD AND 3RD FEATURING THE SOUND OF SHAG,CHICK-A-BOOM FT THE SOUND OF SHAG,CHICKABOOM FT THE SOUND OF SHAG,"(10, 2, 3, 5, 2, 4)",36,1975-09-21
5TH DIMENSION,AQUARIUS/LET THE SUNSHINE IN,AQUARIUSLET THE SUNSHINE IN,"(11, 3, 8, 2)",13,1969-04-23
60FT DOLLS,HAPPY SHOPPER,HAPPY SHOPPER,"(5, 7)",38,1996-07-14
60FT DOLLS,TALK TO ME,TALK TO ME,"(4, 2, 2)",37,1996-05-05
666,DEVIL,DEVIL,"(5,)",18,2000-11-19
6IX9INE,GOOBA,GOOBA,"(5,)",6,2020-05-15
6IX9INE & NICKI MINAJ,TROLLZ,TROLLZ,"(6,)",12,2020-06-19
6IX9INE FT BOBBY SHMURDA,STOOPID,STOOPID,"(7,)",34,2018-10-12
6IX9INE FT TORY LANEZ,KIKA,KIKA,"(4,)",9,2018-11-30
6IX9INE/MINAJ/MURDA BEATZ,FEFE,FEFE,"(4,)",17,2018-07-27
6IX9INE/NICKI MINAJ/KANYE WEST,MAMA,MAMA,"(4,)",29,2018-12-07
702,WHERE MY GIRLS AT?,WHERE MY GIRLS AT,"(5, 2, 5, 2)",22,1999-08-01
702,YOU DON'T KNOW,YOU DONT KNOW,"(3, 4, 4)",36,1999-11-21
808 STATE,CUBIK/OLYMPIC,CUBIKOLYMPIC,"(12,)",10,1990-11-04
808 STATE,IN YER FACE,IN YER FACE,"(2, 3, 4)",9,1991-02-10
808 STATE,LIFT/OPEN YOUR MIND,LIFTOPEN YOUR MIND,"(8, 4, 4)",38,1991-08-18
808 STATE,LOPEZ,LOPEZ,"(5,)",20,1997-02-02
808 STATE,PACIFIC STATE,PACIFIC STATE,"(7, 5)",10,1989-11-12
808 STATE,PACIFIC/CUBIK,PACIFICCUBIK,"(12,)",21,1998-05-10
808 STATE AND UB40,ONE IN TEN,ONE IN TEN,"(3, 2, 3)",17,1992-12-06
911,A LITTLE BIT MORE,A LITTLE BIT MORE,"(1, 6, 3, 4)",1,1999-01-17
911,ALL I WANT IS YOU,ALL I WANT IS YOU,"(3, 1, 4, 2, 3)",4,1998-03-29
911,BODYSHAKIN',BODYSHAKIN,"(10,)",3,1997-04-27
911,DON'T MAKE ME WAIT,DONT MAKE ME WAIT,"(4, 4, 2, 4)",10,1996-11-03
911,HOW DO YOU WANT ME TO LOVE YOU?,HOW DO YOU WANT ME TO LOVE YOU,"(3, 2, 3, 4, 2, 2, 4, 3)",10,1998-06-28
911,LOVE SENSATION,LOVE SENSATION,"(4, 9)",21,1996-08-04
911,MORE THAN A WOMAN,MORE THAN A WOMAN,"(4, 4, 1, 5)",2,1998-10-18
911,NIGHT TO REMEMBER,NIGHT TO REMEMBER,"(5, 2, 8)",38,1996-05-05
911,PARTY PEOPLE...FRIDAY NIGHT,PARTY PEOPLEFRIDAY NIGHT,"(5, 12, 5)",5,1997-10-26
911,PRIVATE NUMBER,PRIVATE NUMBER,"(7, 6)",3,1999-05-09
911,THE DAY WE FIND LOVE,THE DAY WE FIND LOVE,"(3, 3, 2, 4, 4)",4,1997-02-16
911,THE JOURNEY,THE JOURNEY,"(3, 7)",3,1997-07-06
911,WONDERLAND,WONDERLAND,"(10,)",13,1999-10-17
98 DEGREES,BECAUSE OF YOU,BECAUSE OF YOU,"(7, 2, 3)",36,1999-03-07
98 DEGREES,THE HARDEST THING,THE HARDEST THING,"(3, 7, 5)",29,2000-03-05
99 SOULS,GIRL IS MINE (DESTINY'S CHILD & BRANDY),GIRL IS MINE,"(4, 2, 4)",5,2015-12-04
999,HOMICIDE,HOMICIDE,"(8,)",40,1978-11-19
99TH FLOOR ELEVATORS FT TONY D,HOOKED,HOOKED,"(6,)",28,1995-08-06
99TH FLOOR ELEVATORS/T DE VIT,I'LL BE THERE,ILL BE THERE,"(3, 2, 5)",37,1996-03-24
? AND THE MYSTERIANS,96 TEARS,96 TEARS,"(2, 5)",37,1966-11-24
A,GOOD TIME,GOOD TIME,"(4, 4)",23,2003-09-07
A,NOTHING,NOTHING,"(7,)",9,2002-02-24
A,RUSH SONG,RUSH SONG,"(4, 4)",35,2005-05-08
A,STARBUCKS,STARBUCKS,"(9,)",20,2002-05-26
A BOOGIE WIT DA HOODIE/6IX9INE,SWERVIN,SWERVIN,"(7,)",27,2019-02-01
A FLOCK OF SEAGULLS,SPACE AGE LOVE SONG,SPACE AGE LOVE SONG,"(5, 3, 4, 4)",34,1982-06-13
A FLOCK OF SEAGULLS,"THE MORE YOU LIVE, THE MORE YOU LOVE",THE MORE YOU LIVE THE MORE YOU LOVE,"(3, 4, 3, 4, 3, 4, 3, 4)",26,1984-08-05
A FLOCK OF SEAGULLS,TRANSFER AFFECTION,TRANSFER AFFECTION,"(8, 9)",38,1983-07-03
A FLOCK OF SEAGULLS,WISHING (IF I HAD A PHOTOGRAPH OF YOU),WISHING,"(7,)",10,1982-11-14
A GREAT BIG WORLD/AGUILERA,SAY SOMETHING,SAY SOMETHING,"(3, 9)",4,2014-02-23
A GUY CALLED GERALD,VOODOO RAY,VOODOO RAY,"(6, 3)",12,1989-06-25
A HOUSE,HERE COME THE GOOD TIMES,HERE COME THE GOOD TIMES,"(4, 4, 3, 4, 5)",37,1994-09-25
A TASTE OF HONEY,BOOGIE OOGIE OOGIE,BOOGIE OOGIE OOGIE,"(6, 5, 5)",3,1978-06-25
A TEENS,HALFWAY AROUND THE WORLD,HALFWAY AROUND THE WORLD,"(7, 6, 3, 5)",30,2001-10-21
A TEENS,MAMMA MIA,MAMMA MIA,"(5, 3)",12,1999-08-29
A TEENS,SUPER TROUPER,SUPER TROUPER,"(5, 7)",21,1999-12-05
A TEENS,UPSIDE DOWN,UPSIDE DOWN,"(6, 4)",10,2001-05-20
A TRIBE CALLED QUEST,1NCE AGAIN,1NCE AGAIN,"(4, 5)",34,1996-07-07
A TRIBE CALLED QUEST,CAN I KICK IT?,CAN I KICK IT,"(3, 1, 4, 2)",15,1991-01-13
A TRIBE CALLED QUEST/EVANS...,STRESSED OUT,STRESSED OUT,"(8, 3)",33,1996-11-17
A TRIBE OF TOFFS,JOHN KETTLEY (IS A WEATHERMAN),JOHN KETTLEY,"(4, 7)",21,1988-12-18
A+,ENJOY YOURSELF,ENJOY YOURSELF,"(5, 8)",5,1999-02-07
A-HA,ANALOGUE (ALL I WANT),ANALOGUE,"(8,)",10,2006-01-29
A-HA,COSY PRISONS,COSY PRISONS,"(4, 7)",39,2006-04-23
A-HA,CRY WOLF,CRY WOLF,"(3, 4)",5,1986-11-30
A-HA,CRYING IN THE RAIN,CRYING IN THE RAIN,"(6, 2, 3, 4)",13,1990-10-07
A-HA,DARK IS THE NIGHT,DARK IS THE NIGHT,"(4, 2, 3, 5)",19,1993-05-30
A-HA,HUNTING HIGH AND LOW,HUNTING HIGH AND LOW,"(7, 4, 3, 3)",5,1986-06-08
A-HA,I'VE BEEN LOSING YOU,IVE BEEN LOSING YOU,"(3, 4, 6, 3)",8,1986-09-28
A-HA,MANHATTAN SKYLINE,MANHATTAN SKYLINE,"(9, 7)",13,1987-02-22
A-HA,SHAPES THAT GO TOGETHER,SHAPES THAT GO TOGETHER,"(6, 4, 2, 8)",27,1994-03-20
A-HA,STAY ON THESE ROADS,STAY ON THESE ROADS,"(4, 2, 5, 5)",5,1988-03-20
A-HA,SUMMER MOVED ON,SUMMER MOVED ON,"(6, 5, 2)",33,2000-05-28
A-HA,TAKE ON ME,TAKE ON ME,"(4, 2, 2)",2,1985-09-29
A-HA,THE BLOOD THAT MOVES THE BODY,THE BLOOD THAT MOVES THE BODY,"(3, 5, 4, 5, 3, 4)",25,1988-06-12
A-HA,THE LIVING DAYLIGHTS,THE LIVING DAYLIGHTS,"(3, 6, 9)",5,1987-06-28
A-HA,THE SUN ALWAYS SHINES ON TV,THE SUN ALWAYS SHINES ON TV,"(3, 3, 6, 6, 2, 2)",1,1985-12-22
A-HA,TOUCHY!,TOUCHY,"(6,)",11,1988-08-21
A-HA,TRAIN OF THOUGHT,TRAIN OF THOUGHT,"(5, 2, 7)",8,1986-03-30
A-HA,YOU ARE THE ONE,YOU ARE THE ONE,"(3, 3, 3, 3)",13,1988-12-04
A.D.A.M. FEATURING AMY,ZOMBIE,ZOMBIE,"(6,)",16,1995-06-25
A.T.G.O.C.,REPEATED LOVE,REPEATED LOVE,"(8, 4)",38,1998-11-15
A1,BE THE FIRST TO BELIEVE,BE THE FIRST TO BELIEVE,"(2, 3, 5, 2, 7)",6,1999-06-27
A1,CAUGHT IN THE MIDDLE,CAUGHT IN THE MIDDLE,"(6, 2, 3, 6)",2,2002-01-27
A1,EVERYTIME/READY OR NOT,EVERYTIMEREADY OR NOT,"(14, 2, 3)",3,1999-11-14
A1,LIKE A ROSE,LIKE A ROSE,"(4, 1, 4)",6,2000-02-27
A1,MAKE IT GOOD,MAKE IT GOOD,"(4, 2, 4)",11,2002-05-19
A1,NO MORE,NO MORE,"(2, 4)",6,2001-02-25
A1,SAME OLD BRAND NEW YOU,SAME OLD BRAND NEW YOU,"(4, 3, 5, 3, 3)",1,2000-11-12
A1,SUMMERTIME OF OUR LIVES,SUMMERTIME OF OUR LIVES,"(10, 2, 3, 5)",5,1999-09-05
A1,TAKE ON ME,TAKE ON ME,"(4, 2, 2)",1,2000-09-03
A1 & J1,LATEST TRENDS,LATEST TRENDS,"(6, 6)",2,2021-02-12
A1 & J1/TION WAYNE,NIGHT AWAY (DANCE),NIGHT AWAY,"(5, 4)",11,2022-03-11
AALIYAH,(AT YOUR BEST) YOU ARE LOVE,YOU ARE LOVE,"(3, 3, 4)",27,1994-10-09
AALIYAH,4 PAGE LETTER,4 PAGE LETTER,"(1, 4, 6)",24,1997-08-24
AALIYAH,AGE AIN'T NOTHING BUT A NUMBER,AGE AINT NOTHING BUT A NUMBER,"(3, 4, 7, 3, 1, 6)",32,1995-03-05
AALIYAH,ARE YOU THAT SOMEBODY?,ARE YOU THAT SOMEBODY,"(3, 3, 4, 8)",11,1998-09-06
AALIYAH,BACK AND FORTH,BACK AND FORTH,"(4, 3, 5)",16,1994-06-26
AALIYAH,DON'T KNOW WHAT TO TELL YA,DONT KNOW WHAT TO TELL YA,"(4, 4, 4, 2, 4, 2)",22,2003-04-20
AALIYAH,DOWN WITH THE CLIQUE,DOWN WITH THE CLIQUE,"(4, 4, 3, 6)",33,1995-05-07
AALIYAH,GOT TO GIVE IT UP,GOT TO GIVE IT UP,"(3, 2, 4, 2, 2)",37,1996-11-17
AALIYAH,IF YOUR GIRL ONLY KNEW,IF YOUR GIRL ONLY KNEW,"(2, 4, 4, 4, 4)",21,1996-08-18
AALIYAH,IF YOUR GIRL ONLY KNEW/ONE IN A MILLION,IF YOUR GIRL ONLY KNEWONE IN A MILLION,"(2, 4, 4, 4, 7, 2, 1, 7)",15,1997-05-18
AALIYAH,JOURNEY TO THE PAST,JOURNEY TO THE PAST,"(7, 2, 3, 4)",22,1998-04-12
AALIYAH,MORE THAN A WOMAN,MORE THAN A WOMAN,"(4, 4, 1, 5)",1,2002-01-13
AALIYAH,ROCK THE BOAT,ROCK THE BOAT,"(4, 3, 4)",12,2002-05-12
